index,Disease,Disease Code,State,Year,Gender,Age,Age Code,STD Cases,Population,Rate per 100K
0,Chlamydia,274.0,Alabama,1996.0,Male,0-14 years,0-14,25.0,468394.0,5.34
1,Chlamydia,274.0,Alabama,1996.0,Male,15-19 years,15-19,164.0,165920.0,98.84
2,Chlamydia,274.0,Alabama,1996.0,Male,20-24 years,20-24,193.0,152848.0,126.27
3,Chlamydia,274.0,Alabama,1996.0,Male,25-29 years,25-29,88.0,152778.0,57.6
4,Chlamydia,274.0,Alabama,1996.0,Male,30-34 years,30-34,55.0,155850.0,35.29
5,Chlamydia,274.0,Alabama,1996.0,Male,35-39 years,35-39,30.0,168841.0,17.77
6,Chlamydia,274.0,Alabama,1996.0,Male,40+ years,40+,44.0,819248.0,5.37
7,Chlamydia,274.0,Alabama,1996.0,Male,Unknown,99,63.0,,
8,Chlamydia,274.0,Alabama,1997.0,Male,0-14 years,0-14,27.0,473016.0,5.71
9,Chlamydia,274.0,Alabama,1997.0,Male,15-19 years,15-19,230.0,167083.0,137.66
10,Chlamydia,274.0,Alabama,1997.0,Male,20-24 years,20-24,185.0,150783.0,122.69
11,Chlamydia,274.0,Alabama,1997.0,Male,25-29 years,25-29,109.0,154166.0,70.7
12,Chlamydia,274.0,Alabama,1997.0,Male,30-34 years,30-34,50.0,151932.0,32.91
13,Chlamydia,274.0,Alabama,1997.0,Male,35-39 years,35-39,41.0,168350.0,24.35
14,Chlamydia,274.0,Alabama,1997.0,Male,40+ years,40+,66.0,837795.0,7.88
15,Chlamydia,274.0,Alabama,1998.0,Male,0-14 years,0-14,38.0,472365.0,8.04
16,Chlamydia,274.0,Alabama,1998.0,Male,15-19 years,15-19,267.0,167374.0,159.52
17,Chlamydia,274.0,Alabama,1998.0,Male,20-24 years,20-24,236.0,151228.0,156.06
18,Chlamydia,274.0,Alabama,1998.0,Male,25-29 years,25-29,133.0,154387.0,86.15
19,Chlamydia,274.0,Alabama,1998.0,Male,30-34 years,30-34,76.0,149654.0,50.78
20,Chlamydia,274.0,Alabama,1998.0,Male,35-39 years,35-39,38.0,168795.0,22.51
21,Chlamydia,274.0,Alabama,1998.0,Male,40+ years,40+,56.0,859032.0,6.52
22,Chlamydia,274.0,Alabama,1999.0,Male,0-14 years,0-14,30.0,475482.0,6.31
23,Chlamydia,274.0,Alabama,1999.0,Male,15-19 years,15-19,250.0,166099.0,150.51
24,Chlamydia,274.0,Alabama,1999.0,Male,20-24 years,20-24,200.0,151548.0,131.97
25,Chlamydia,274.0,Alabama,1999.0,Male,25-29 years,25-29,125.0,151877.0,82.3
26,Chlamydia,274.0,Alabama,1999.0,Male,30-34 years,30-34,66.0,148196.0,44.54
27,Chlamydia,274.0,Alabama,1999.0,Male,35-39 years,35-39,41.0,167921.0,24.42
28,Chlamydia,274.0,Alabama,1999.0,Male,40+ years,40+,58.0,875759.0,6.62
29,Chlamydia,274.0,Alabama,1999.0,Male,Unknown,99,25.0,,
30,Chlamydia,274.0,Alabama,2000.0,Male,0-14 years,0-14,20.0,471642.0,4.24
31,Chlamydia,274.0,Alabama,2000.0,Male,15-19 years,15-19,375.0,163376.0,229.53
32,Chlamydia,274.0,Alabama,2000.0,Male,20-24 years,20-24,493.0,153879.0,320.38
33,Chlamydia,274.0,Alabama,2000.0,Male,25-29 years,25-29,253.0,148829.0,169.99
34,Chlamydia,274.0,Alabama,2000.0,Male,30-34 years,30-34,121.0,149723.0,80.82
35,Chlamydia,274.0,Alabama,2000.0,Male,35-39 years,35-39,67.0,166434.0,40.26
36,Chlamydia,274.0,Alabama,2000.0,Male,40+ years,40+,75.0,895009.0,8.38
37,Chlamydia,274.0,Alabama,2000.0,Male,Unknown,99,28.0,,
38,Chlamydia,274.0,Alabama,2001.0,Male,0-14 years,0-14,27.0,472551.0,5.71
39,Chlamydia,274.0,Alabama,2001.0,Male,15-19 years,15-19,271.0,162233.0,167.04
40,Chlamydia,274.0,Alabama,2001.0,Male,20-24 years,20-24,391.0,157814.0,247.76
41,Chlamydia,274.0,Alabama,2001.0,Male,25-29 years,25-29,199.0,145674.0,136.61
42,Chlamydia,274.0,Alabama,2001.0,Male,30-34 years,30-34,98.0,150626.0,65.06
43,Chlamydia,274.0,Alabama,2001.0,Male,35-39 years,35-39,58.0,162717.0,35.64
44,Chlamydia,274.0,Alabama,2001.0,Male,40+ years,40+,56.0,907438.0,6.17
45,Chlamydia,274.0,Alabama,2001.0,Male,Unknown,99,24.0,,
46,Chlamydia,274.0,Alabama,2002.0,Male,0-14 years,0-14,28.0,469788.0,5.96
47,Chlamydia,274.0,Alabama,2002.0,Male,15-19 years,15-19,339.0,161966.0,209.3
48,Chlamydia,274.0,Alabama,2002.0,Male,20-24 years,20-24,593.0,161282.0,367.68
49,Chlamydia,274.0,Alabama,2002.0,Male,25-29 years,25-29,289.0,145240.0,198.98
50,Chlamydia,274.0,Alabama,2002.0,Male,30-34 years,30-34,150.0,153025.0,98.02
51,Chlamydia,274.0,Alabama,2002.0,Male,35-39 years,35-39,64.0,158412.0,40.4
52,Chlamydia,274.0,Alabama,2002.0,Male,40+ years,40+,98.0,919422.0,10.66
53,Chlamydia,274.0,Alabama,2002.0,Male,Unknown,99,18.0,,
54,Chlamydia,274.0,Alabama,2003.0,Male,0-14 years,0-14,32.0,469913.0,6.81
55,Chlamydia,274.0,Alabama,2003.0,Male,15-19 years,15-19,306.0,162722.0,188.05
56,Chlamydia,274.0,Alabama,2003.0,Male,20-24 years,20-24,389.0,163265.0,238.26
57,Chlamydia,274.0,Alabama,2003.0,Male,25-29 years,25-29,207.0,145088.0,142.67
58,Chlamydia,274.0,Alabama,2003.0,Male,30-34 years,30-34,105.0,150482.0,69.78
59,Chlamydia,274.0,Alabama,2003.0,Male,35-39 years,35-39,55.0,152679.0,36.02
60,Chlamydia,274.0,Alabama,2003.0,Male,40+ years,40+,86.0,935015.0,9.2
61,Chlamydia,274.0,Alabama,2003.0,Male,Unknown,99,21.0,,
62,Chlamydia,274.0,Alabama,2004.0,Male,0-14 years,0-14,22.0,463087.0,4.75
63,Chlamydia,274.0,Alabama,2004.0,Male,15-19 years,15-19,374.0,163267.0,229.07
64,Chlamydia,274.0,Alabama,2004.0,Male,20-24 years,20-24,580.0,164745.0,352.06
65,Chlamydia,274.0,Alabama,2004.0,Male,25-29 years,25-29,289.0,148879.0,194.12
66,Chlamydia,274.0,Alabama,2004.0,Male,30-34 years,30-34,142.0,149850.0,94.76
67,Chlamydia,274.0,Alabama,2004.0,Male,35-39 years,35-39,79.0,150310.0,52.56
68,Chlamydia,274.0,Alabama,2004.0,Male,40+ years,40+,104.0,956070.0,10.88
69,Chlamydia,274.0,Alabama,2004.0,Male,Unknown,99,13.0,,
70,Chlamydia,274.0,Alabama,2005.0,Male,0-14 years,0-14,22.0,458480.0,4.8
71,Chlamydia,274.0,Alabama,2005.0,Male,15-19 years,15-19,601.0,165142.0,363.93
72,Chlamydia,274.0,Alabama,2005.0,Male,20-24 years,20-24,860.0,164174.0,523.83
73,Chlamydia,274.0,Alabama,2005.0,Male,25-29 years,25-29,499.0,153371.0,325.36
74,Chlamydia,274.0,Alabama,2005.0,Male,30-34 years,30-34,218.0,147670.0,147.63
75,Chlamydia,274.0,Alabama,2005.0,Male,35-39 years,35-39,104.0,149840.0,69.41
76,Chlamydia,274.0,Alabama,2005.0,Male,40+ years,40+,181.0,972985.0,18.6
77,Chlamydia,274.0,Alabama,2005.0,Male,Unknown,99,22.0,,
78,Chlamydia,274.0,Alabama,2006.0,Male,0-14 years,0-14,32.0,467853.0,6.84
79,Chlamydia,274.0,Alabama,2006.0,Male,15-19 years,15-19,1293.0,165849.0,779.62
80,Chlamydia,274.0,Alabama,2006.0,Male,20-24 years,20-24,1858.0,162692.0,1142.04
81,Chlamydia,274.0,Alabama,2006.0,Male,25-29 years,25-29,914.0,157856.0,579.01
82,Chlamydia,274.0,Alabama,2006.0,Male,30-34 years,30-34,392.0,142250.0,275.57
83,Chlamydia,274.0,Alabama,2006.0,Male,35-39 years,35-39,195.0,150682.0,129.41
84,Chlamydia,274.0,Alabama,2006.0,Male,40+ years,40+,252.0,982287.0,25.65
85,Chlamydia,274.0,Alabama,2006.0,Male,Unknown,99,49.0,,
86,Chlamydia,274.0,Alabama,2007.0,Male,0-14 years,0-14,32.0,472907.0,6.77
87,Chlamydia,274.0,Alabama,2007.0,Male,15-19 years,15-19,1434.0,165712.0,865.36
88,Chlamydia,274.0,Alabama,2007.0,Male,20-24 years,20-24,2290.0,159810.0,1432.95
89,Chlamydia,274.0,Alabama,2007.0,Male,25-29 years,25-29,1123.0,160889.0,698.0
90,Chlamydia,274.0,Alabama,2007.0,Male,30-34 years,30-34,503.0,141457.0,355.58
91,Chlamydia,274.0,Alabama,2007.0,Male,35-39 years,35-39,225.0,152090.0,147.94
92,Chlamydia,274.0,Alabama,2007.0,Male,40+ years,40+,332.0,989260.0,33.56
93,Chlamydia,274.0,Alabama,2007.0,Male,Unknown,99,16.0,,
94,Chlamydia,274.0,Alabama,2008.0,Male,0-14 years,0-14,44.0,473529.0,9.29
95,Chlamydia,274.0,Alabama,2008.0,Male,15-19 years,15-19,1528.0,166570.0,917.33
96,Chlamydia,274.0,Alabama,2008.0,Male,20-24 years,20-24,2341.0,159612.0,1466.68
97,Chlamydia,274.0,Alabama,2008.0,Male,25-29 years,25-29,1085.0,161570.0,671.54
98,Chlamydia,274.0,Alabama,2008.0,Male,30-34 years,30-34,466.0,142221.0,327.66
99,Chlamydia,274.0,Alabama,2008.0,Male,35-39 years,35-39,243.0,152327.0,159.53
100,Chlamydia,274.0,Alabama,2008.0,Male,40+ years,40+,283.0,1002258.0,28.24
101,Chlamydia,274.0,Alabama,2008.0,Male,Unknown,99,17.0,,
102,Chlamydia,274.0,Alabama,2009.0,Male,0-14 years,0-14,34.0,477172.0,7.13
103,Chlamydia,274.0,Alabama,2009.0,Male,15-19 years,15-19,1673.0,167091.0,1001.25
104,Chlamydia,274.0,Alabama,2009.0,Male,20-24 years,20-24,2649.0,166662.0,1589.44
105,Chlamydia,274.0,Alabama,2009.0,Male,25-29 years,25-29,1163.0,162536.0,715.53
106,Chlamydia,274.0,Alabama,2009.0,Male,30-34 years,30-34,509.0,145329.0,350.24
107,Chlamydia,274.0,Alabama,2009.0,Male,35-39 years,35-39,212.0,151296.0,140.12
108,Chlamydia,274.0,Alabama,2009.0,Male,40+ years,40+,258.0,1011526.0,25.51
109,Chlamydia,274.0,Alabama,2009.0,Male,Unknown,99,10.0,,
110,Chlamydia,274.0,Alabama,2010.0,Male,0-14 years,0-14,35.0,476022.0,7.35
111,Chlamydia,274.0,Alabama,2010.0,Male,15-19 years,15-19,1840.0,175151.0,1050.52
112,Chlamydia,274.0,Alabama,2010.0,Male,20-24 years,20-24,2816.0,167520.0,1680.99
113,Chlamydia,274.0,Alabama,2010.0,Male,25-29 years,25-29,1145.0,153716.0,744.88
114,Chlamydia,274.0,Alabama,2010.0,Male,30-34 years,30-34,539.0,146424.0,368.11
115,Chlamydia,274.0,Alabama,2010.0,Male,35-39 years,35-39,221.0,151078.0,146.28
116,Chlamydia,274.0,Alabama,2010.0,Male,40+ years,40+,271.0,1050277.0,25.8
117,Chlamydia,274.0,Alabama,2010.0,Male,Unknown,99,10.0,,
118,Chlamydia,274.0,Alabama,2011.0,Male,0-14 years,0-14,44.0,474878.0,9.27
119,Chlamydia,274.0,Alabama,2011.0,Male,15-19 years,15-19,2007.0,170749.0,1175.41
120,Chlamydia,274.0,Alabama,2011.0,Male,20-24 years,20-24,3226.0,173150.0,1863.12
121,Chlamydia,274.0,Alabama,2011.0,Male,25-29 years,25-29,1307.0,152969.0,854.42
122,Chlamydia,274.0,Alabama,2011.0,Male,30-34 years,30-34,545.0,149620.0,364.26
123,Chlamydia,274.0,Alabama,2011.0,Male,35-39 years,35-39,245.0,144329.0,169.75
124,Chlamydia,274.0,Alabama,2011.0,Male,40+ years,40+,262.0,1063796.0,24.63
125,Chlamydia,274.0,Alabama,2011.0,Male,Unknown,99,12.0,,
126,Chlamydia,274.0,Alabama,2012.0,Male,0-14 years,0-14,42.0,475717.0,8.83
127,Chlamydia,274.0,Alabama,2012.0,Male,15-19 years,15-19,2093.0,165508.0,1264.59
128,Chlamydia,274.0,Alabama,2012.0,Male,20-24 years,20-24,3435.0,176160.0,1949.93
129,Chlamydia,274.0,Alabama,2012.0,Male,25-29 years,25-29,1439.0,153084.0,940.01
130,Chlamydia,274.0,Alabama,2012.0,Male,30-34 years,30-34,661.0,151045.0,437.62
131,Chlamydia,274.0,Alabama,2012.0,Male,35-39 years,35-39,287.0,142261.0,201.74
132,Chlamydia,274.0,Alabama,2012.0,Male,40+ years,40+,333.0,1074782.0,30.98
133,Chlamydia,274.0,Alabama,2012.0,Male,Unknown,99,5.0,,
134,Chlamydia,274.0,Alabama,2013.0,Male,0-14 years,0-14,51.0,469840.0,10.85
135,Chlamydia,274.0,Alabama,2013.0,Male,15-19 years,15-19,1942.0,163751.0,1185.95
136,Chlamydia,274.0,Alabama,2013.0,Male,20-24 years,20-24,3416.0,178447.0,1914.29
137,Chlamydia,274.0,Alabama,2013.0,Male,25-29 years,25-29,1492.0,153647.0,971.06
138,Chlamydia,274.0,Alabama,2013.0,Male,30-34 years,30-34,657.0,152362.0,431.21
139,Chlamydia,274.0,Alabama,2013.0,Male,35-39 years,35-39,312.0,142291.0,219.27
140,Chlamydia,274.0,Alabama,2013.0,Male,40+ years,40+,323.0,1085009.0,29.77
141,Chlamydia,274.0,Alabama,2013.0,Male,Unknown,99,8.0,,
142,Chlamydia,274.0,Alabama,2014.0,Male,0-14 years,0-14,39.0,469840.0,8.3
143,Chlamydia,274.0,Alabama,2014.0,Male,15-19 years,15-19,1713.0,163751.0,1046.1
144,Chlamydia,274.0,Alabama,2014.0,Male,20-24 years,20-24,3471.0,178447.0,1945.12
145,Chlamydia,274.0,Alabama,2014.0,Male,25-29 years,25-29,1587.0,153647.0,1032.89
146,Chlamydia,274.0,Alabama,2014.0,Male,30-34 years,30-34,777.0,152362.0,509.97
147,Chlamydia,274.0,Alabama,2014.0,Male,35-39 years,35-39,354.0,142291.0,248.79
148,Chlamydia,274.0,Alabama,2014.0,Male,40+ years,40+,372.0,1085009.0,34.29
149,Chlamydia,274.0,Alabama,2014.0,Male,Unknown,99,5.0,,
150,Chlamydia,274.0,Alaska,1996.0,Male,0-14 years,0-14,3.0,80447.0,3.73
151,Chlamydia,274.0,Alaska,1996.0,Male,15-19 years,15-19,70.0,23843.0,293.59
152,Chlamydia,274.0,Alaska,1996.0,Male,20-24 years,20-24,93.0,20389.0,456.13
153,Chlamydia,274.0,Alaska,1996.0,Male,25-29 years,25-29,41.0,20809.0,197.03
154,Chlamydia,274.0,Alaska,1996.0,Male,30-34 years,30-34,19.0,30095.0,63.13
155,Chlamydia,274.0,Alaska,1996.0,Male,35-39 years,35-39,13.0,32485.0,40.02
156,Chlamydia,274.0,Alaska,1996.0,Male,40+ years,40+,18.0,108546.0,16.58
157,Chlamydia,274.0,Alaska,1996.0,Male,Unknown,99,6.0,,
158,Chlamydia,274.0,Alaska,1997.0,Male,0-14 years,0-14,3.0,81139.0,3.7
159,Chlamydia,274.0,Alaska,1997.0,Male,15-19 years,15-19,74.0,24669.0,299.97
160,Chlamydia,274.0,Alaska,1997.0,Male,20-24 years,20-24,128.0,20463.0,625.52
161,Chlamydia,274.0,Alaska,1997.0,Male,25-29 years,25-29,66.0,20378.0,323.88
162,Chlamydia,274.0,Alaska,1997.0,Male,30-34 years,30-34,15.0,28259.0,53.08
163,Chlamydia,274.0,Alaska,1997.0,Male,35-39 years,35-39,21.0,31562.0,66.54
164,Chlamydia,274.0,Alaska,1997.0,Male,40+ years,40+,14.0,111686.0,12.54
165,Chlamydia,274.0,Alaska,1997.0,Male,Unknown,99,4.0,,
166,Chlamydia,274.0,Alaska,1998.0,Male,0-14 years,0-14,4.0,82553.0,4.85
167,Chlamydia,274.0,Alaska,1998.0,Male,15-19 years,15-19,118.0,25684.0,459.43
168,Chlamydia,274.0,Alaska,1998.0,Male,20-24 years,20-24,172.0,20569.0,836.21
169,Chlamydia,274.0,Alaska,1998.0,Male,25-29 years,25-29,68.0,20931.0,324.88
170,Chlamydia,274.0,Alaska,1998.0,Male,30-34 years,30-34,29.0,26485.0,109.5
171,Chlamydia,274.0,Alaska,1998.0,Male,35-39 years,35-39,18.0,30640.0,58.75
172,Chlamydia,274.0,Alaska,1998.0,Male,40+ years,40+,16.0,114561.0,13.97
173,Chlamydia,274.0,Alaska,1998.0,Male,Unknown,99,3.0,,
174,Chlamydia,274.0,Alaska,1999.0,Male,0-14 years,0-14,2.0,81581.0,2.45
175,Chlamydia,274.0,Alaska,1999.0,Male,15-19 years,15-19,103.0,26165.0,393.66
176,Chlamydia,274.0,Alaska,1999.0,Male,20-24 years,20-24,154.0,20966.0,734.52
177,Chlamydia,274.0,Alaska,1999.0,Male,25-29 years,25-29,63.0,21634.0,291.21
178,Chlamydia,274.0,Alaska,1999.0,Male,30-34 years,30-34,39.0,25070.0,155.56
179,Chlamydia,274.0,Alaska,1999.0,Male,35-39 years,35-39,39.0,29718.0,131.23
180,Chlamydia,274.0,Alaska,1999.0,Male,40+ years,40+,24.0,118379.0,20.27
181,Chlamydia,274.0,Alaska,1999.0,Male,Unknown,99,6.0,,
182,Chlamydia,274.0,Alaska,2000.0,Male,0-14 years,0-14,3.0,80561.0,3.72
183,Chlamydia,274.0,Alaska,2000.0,Male,15-19 years,15-19,201.0,26813.0,749.64
184,Chlamydia,274.0,Alaska,2000.0,Male,20-24 years,20-24,257.0,21302.0,1206.46
185,Chlamydia,274.0,Alaska,2000.0,Male,25-29 years,25-29,114.0,21955.0,519.24
186,Chlamydia,274.0,Alaska,2000.0,Male,30-34 years,30-34,56.0,24017.0,233.17
187,Chlamydia,274.0,Alaska,2000.0,Male,35-39 years,35-39,40.0,28224.0,141.72
188,Chlamydia,274.0,Alaska,2000.0,Male,40+ years,40+,34.0,121717.0,27.93
189,Chlamydia,274.0,Alaska,2000.0,Male,Unknown,99,1.0,,
190,Chlamydia,274.0,Alaska,2001.0,Male,0-14 years,0-14,7.0,80287.0,8.72
191,Chlamydia,274.0,Alaska,2001.0,Male,15-19 years,15-19,191.0,28890.0,661.13
192,Chlamydia,274.0,Alaska,2001.0,Male,20-24 years,20-24,308.0,21685.0,1420.34
193,Chlamydia,274.0,Alaska,2001.0,Male,25-29 years,25-29,128.0,21243.0,602.55
194,Chlamydia,274.0,Alaska,2001.0,Male,30-34 years,30-34,39.0,23362.0,166.94
195,Chlamydia,274.0,Alaska,2001.0,Male,35-39 years,35-39,38.0,26947.0,141.02
196,Chlamydia,274.0,Alaska,2001.0,Male,40+ years,40+,52.0,125047.0,41.58
197,Chlamydia,274.0,Alaska,2002.0,Male,0-14 years,0-14,7.0,80876.0,8.66
198,Chlamydia,274.0,Alaska,2002.0,Male,15-19 years,15-19,294.0,29913.0,982.85
199,Chlamydia,274.0,Alaska,2002.0,Male,20-24 years,20-24,490.0,20209.0,2424.66
200,Chlamydia,274.0,Alaska,2002.0,Male,25-29 years,25-29,210.0,19449.0,1079.75
201,Chlamydia,274.0,Alaska,2002.0,Male,30-34 years,30-34,97.0,22492.0,431.26
202,Chlamydia,274.0,Alaska,2002.0,Male,35-39 years,35-39,65.0,25565.0,254.25
203,Chlamydia,274.0,Alaska,2002.0,Male,40+ years,40+,67.0,134617.0,49.77
204,Chlamydia,274.0,Alaska,2003.0,Male,0-14 years,0-14,8.0,79813.0,10.02
205,Chlamydia,274.0,Alaska,2003.0,Male,15-19 years,15-19,287.0,29803.0,962.99
206,Chlamydia,274.0,Alaska,2003.0,Male,20-24 years,20-24,513.0,25523.0,2009.95
207,Chlamydia,274.0,Alaska,2003.0,Male,25-29 years,25-29,215.0,19935.0,1078.51
208,Chlamydia,274.0,Alaska,2003.0,Male,30-34 years,30-34,78.0,22670.0,344.07
209,Chlamydia,274.0,Alaska,2003.0,Male,35-39 years,35-39,61.0,24956.0,244.43
210,Chlamydia,274.0,Alaska,2003.0,Male,40+ years,40+,73.0,132581.0,55.06
211,Chlamydia,274.0,Alaska,2004.0,Male,0-14 years,0-14,2.0,79389.0,2.52
212,Chlamydia,274.0,Alaska,2004.0,Male,15-19 years,15-19,256.0,29927.0,855.41
213,Chlamydia,274.0,Alaska,2004.0,Male,20-24 years,20-24,529.0,27929.0,1894.09
214,Chlamydia,274.0,Alaska,2004.0,Male,25-29 years,25-29,241.0,19939.0,1208.69
215,Chlamydia,274.0,Alaska,2004.0,Male,30-34 years,30-34,102.0,22183.0,459.81
216,Chlamydia,274.0,Alaska,2004.0,Male,35-39 years,35-39,74.0,24075.0,307.37
217,Chlamydia,274.0,Alaska,2004.0,Male,40+ years,40+,79.0,135468.0,58.32
218,Chlamydia,274.0,Alaska,2005.0,Male,0-14 years,0-14,3.0,79178.0,3.79
219,Chlamydia,274.0,Alaska,2005.0,Male,15-19 years,15-19,269.0,30139.0,892.53
220,Chlamydia,274.0,Alaska,2005.0,Male,20-24 years,20-24,589.0,29967.0,1965.5
221,Chlamydia,274.0,Alaska,2005.0,Male,25-29 years,25-29,290.0,19830.0,1462.43
222,Chlamydia,274.0,Alaska,2005.0,Male,30-34 years,30-34,119.0,21501.0,553.46
223,Chlamydia,274.0,Alaska,2005.0,Male,35-39 years,35-39,65.0,23765.0,273.51
224,Chlamydia,274.0,Alaska,2005.0,Male,40+ years,40+,112.0,138802.0,80.69
225,Chlamydia,274.0,Alaska,2006.0,Male,0-14 years,0-14,7.0,76222.0,9.18
226,Chlamydia,274.0,Alaska,2006.0,Male,15-19 years,15-19,273.0,27750.0,983.78
227,Chlamydia,274.0,Alaska,2006.0,Male,20-24 years,20-24,598.0,29499.0,2027.19
228,Chlamydia,274.0,Alaska,2006.0,Male,25-29 years,25-29,277.0,26580.0,1042.14
229,Chlamydia,274.0,Alaska,2006.0,Male,30-34 years,30-34,141.0,23410.0,602.31
230,Chlamydia,274.0,Alaska,2006.0,Male,35-39 years,35-39,66.0,24189.0,272.85
231,Chlamydia,274.0,Alaska,2006.0,Male,40+ years,40+,96.0,138761.0,69.18
232,Chlamydia,274.0,Alaska,2007.0,Male,0-14 years,0-14,3.0,76239.0,3.93
233,Chlamydia,274.0,Alaska,2007.0,Male,15-19 years,15-19,278.0,27992.0,993.14
234,Chlamydia,274.0,Alaska,2007.0,Male,20-24 years,20-24,662.0,30975.0,2137.21
235,Chlamydia,274.0,Alaska,2007.0,Male,25-29 years,25-29,343.0,29399.0,1166.71
236,Chlamydia,274.0,Alaska,2007.0,Male,30-34 years,30-34,150.0,23728.0,632.16
237,Chlamydia,274.0,Alaska,2007.0,Male,35-39 years,35-39,76.0,24874.0,305.54
238,Chlamydia,274.0,Alaska,2007.0,Male,40+ years,40+,104.0,141633.0,73.43
239,Chlamydia,274.0,Alaska,2008.0,Male,0-14 years,0-14,2.0,75775.0,2.64
240,Chlamydia,274.0,Alaska,2008.0,Male,15-19 years,15-19,287.0,27250.0,1053.21
241,Chlamydia,274.0,Alaska,2008.0,Male,20-24 years,20-24,647.0,32007.0,2021.43
242,Chlamydia,274.0,Alaska,2008.0,Male,25-29 years,25-29,351.0,31084.0,1129.2
243,Chlamydia,274.0,Alaska,2008.0,Male,30-34 years,30-34,151.0,24523.0,615.75
244,Chlamydia,274.0,Alaska,2008.0,Male,35-39 years,35-39,56.0,24575.0,227.87
245,Chlamydia,274.0,Alaska,2008.0,Male,40+ years,40+,114.0,142393.0,80.06
246,Chlamydia,274.0,Alaska,2009.0,Male,0-14 years,0-14,5.0,78359.0,6.38
247,Chlamydia,274.0,Alaska,2009.0,Male,15-19 years,15-19,348.0,27808.0,1251.44
248,Chlamydia,274.0,Alaska,2009.0,Male,20-24 years,20-24,721.0,32283.0,2233.37
249,Chlamydia,274.0,Alaska,2009.0,Male,25-29 years,25-29,362.0,32186.0,1124.71
250,Chlamydia,274.0,Alaska,2009.0,Male,30-34 years,30-34,187.0,24485.0,763.73
251,Chlamydia,274.0,Alaska,2009.0,Male,35-39 years,35-39,77.0,23565.0,326.76
252,Chlamydia,274.0,Alaska,2009.0,Male,40+ years,40+,102.0,143539.0,71.06
253,Chlamydia,274.0,Alaska,2010.0,Male,0-14 years,0-14,3.0,80081.0,3.75
254,Chlamydia,274.0,Alaska,2010.0,Male,15-19 years,15-19,340.0,27179.0,1250.97
255,Chlamydia,274.0,Alaska,2010.0,Male,20-24 years,20-24,871.0,29706.0,2932.07
256,Chlamydia,274.0,Alaska,2010.0,Male,25-29 years,25-29,461.0,29307.0,1573.0
257,Chlamydia,274.0,Alaska,2010.0,Male,30-34 years,30-34,180.0,24861.0,724.03
258,Chlamydia,274.0,Alaska,2010.0,Male,35-39 years,35-39,94.0,23731.0,396.11
259,Chlamydia,274.0,Alaska,2010.0,Male,40+ years,40+,109.0,154763.0,70.43
260,Chlamydia,274.0,Alaska,2011.0,Male,0-14 years,0-14,3.0,80871.0,3.71
261,Chlamydia,274.0,Alaska,2011.0,Male,15-19 years,15-19,374.0,27101.0,1380.02
262,Chlamydia,274.0,Alaska,2011.0,Male,20-24 years,20-24,773.0,30617.0,2524.74
263,Chlamydia,274.0,Alaska,2011.0,Male,25-29 years,25-29,395.0,29944.0,1319.13
264,Chlamydia,274.0,Alaska,2011.0,Male,30-34 years,30-34,202.0,25613.0,788.66
265,Chlamydia,274.0,Alaska,2011.0,Male,35-39 years,35-39,67.0,23084.0,290.24
266,Chlamydia,274.0,Alaska,2011.0,Male,40+ years,40+,124.0,157962.0,78.5
267,Chlamydia,274.0,Alaska,2012.0,Male,0-14 years,0-14,6.0,80710.0,7.43
268,Chlamydia,274.0,Alaska,2012.0,Male,15-19 years,15-19,278.0,26311.0,1056.59
269,Chlamydia,274.0,Alaska,2012.0,Male,20-24 years,20-24,663.0,33281.0,1992.13
270,Chlamydia,274.0,Alaska,2012.0,Male,25-29 years,25-29,442.0,31299.0,1412.19
271,Chlamydia,274.0,Alaska,2012.0,Male,30-34 years,30-34,196.0,27335.0,717.03
272,Chlamydia,274.0,Alaska,2012.0,Male,35-39 years,35-39,75.0,23325.0,321.54
273,Chlamydia,274.0,Alaska,2012.0,Male,40+ years,40+,132.0,158977.0,83.03
274,Chlamydia,274.0,Alaska,2013.0,Male,0-14 years,0-14,3.0,81467.0,3.68
275,Chlamydia,274.0,Alaska,2013.0,Male,15-19 years,15-19,273.0,26096.0,1046.14
276,Chlamydia,274.0,Alaska,2013.0,Male,20-24 years,20-24,729.0,36122.0,2018.16
277,Chlamydia,274.0,Alaska,2013.0,Male,25-29 years,25-29,414.0,33138.0,1249.32
278,Chlamydia,274.0,Alaska,2013.0,Male,30-34 years,30-34,214.0,28401.0,753.5
279,Chlamydia,274.0,Alaska,2013.0,Male,35-39 years,35-39,90.0,23548.0,382.2
280,Chlamydia,274.0,Alaska,2013.0,Male,40+ years,40+,152.0,156796.0,96.94
281,Chlamydia,274.0,Alaska,2014.0,Male,0-14 years,0-14,9.0,81467.0,11.05
282,Chlamydia,274.0,Alaska,2014.0,Male,15-19 years,15-19,252.0,26096.0,965.66
283,Chlamydia,274.0,Alaska,2014.0,Male,20-24 years,20-24,680.0,36122.0,1882.51
284,Chlamydia,274.0,Alaska,2014.0,Male,25-29 years,25-29,446.0,33138.0,1345.89
285,Chlamydia,274.0,Alaska,2014.0,Male,30-34 years,30-34,206.0,28401.0,725.33
286,Chlamydia,274.0,Alaska,2014.0,Male,35-39 years,35-39,115.0,23548.0,488.36
